I (858882) moq-ultra-net: phase=streaming sent=42330 received=42319 replies=85 control=85 reset_tx=84 reset_rx=84 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (868883) moq-ultra-net: phase=streaming sent=42830 received=42819 replies=86 control=86 reset_tx=85 reset_rx=85 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (878882) moq-ultra-net: phase=streaming sent=43330 received=43319 replies=87 control=87 reset_tx=86 reset_rx=86 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (888885) moq-ultra-net: phase=streaming sent=43830 received=43819 replies=88 control=88 reset_tx=87 reset_rx=87 internal_free=210019 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (898884) moq-ultra-net: phase=streaming sent=44330 received=44319 replies=89 control=89 reset_tx=88 reset_rx=88 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (908883) moq-ultra-net: phase=streaming sent=44830 received=44819 replies=90 control=90 reset_tx=89 reset_rx=89 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (918884) moq-ultra-net: phase=streaming sent=45330 received=45319 replies=91 control=91 reset_tx=90 reset_rx=90 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (928884) moq-ultra-net: phase=streaming sent=45830 received=45819 replies=92 control=92 reset_tx=91 reset_rx=91 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (938885) moq-ultra-net: phase=streaming sent=46330 received=46319 replies=93 control=93 reset_tx=92 reset_rx=92 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (948882) moq-ultra-net: phase=streaming sent=46830 received=46819 replies=94 control=94 reset_tx=93 reset_rx=93 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (958882) moq-ultra-net: phase=streaming sent=47330 received=47318 replies=95 control=95 reset_tx=94 reset_rx=94 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (968884) moq-ultra-net: phase=streaming sent=47830 received=47819 replies=96 control=96 reset_tx=95 reset_rx=95 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (978883) moq-ultra-net: phase=streaming sent=48330 received=48319 replies=97 control=97 reset_tx=96 reset_rx=96 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (988882) moq-ultra-net: phase=streaming sent=48830 received=48819 replies=98 control=98 reset_tx=97 reset_rx=97 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (998884) moq-ultra-net: phase=streaming sent=49330 received=49319 replies=99 control=99 reset_tx=98 reset_rx=98 internal_free=208227 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1008884) moq-ultra-net: phase=streaming sent=49830 received=49819 replies=100 control=100 reset_tx=99 reset_rx=99 internal_free=208227 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1018884) moq-ultra-net: phase=streaming sent=50330 received=50319 replies=101 control=101 reset_tx=100 reset_rx=100 internal_free=211623 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1028884) moq-ultra-net: phase=streaming sent=50830 received=50819 replies=102 control=102 reset_tx=101 reset_rx=101 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1038882) moq-ultra-net: phase=streaming sent=51330 received=51319 replies=103 control=103 reset_tx=102 reset_rx=102 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1048883) moq-ultra-net: phase=streaming sent=51830 received=51819 replies=104 control=104 reset_tx=103 reset_rx=103 internal_free=209815 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1058883) moq-ultra-net: phase=streaming sent=52330 received=52319 replies=105 control=105 reset_tx=104 reset_rx=104 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1068884) moq-ultra-net: phase=streaming sent=52830 received=52819 replies=106 control=106 reset_tx=105 reset_rx=105 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1078883) moq-ultra-net: phase=streaming sent=53330 received=53319 replies=107 control=107 reset_tx=106 reset_rx=106 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1088883) moq-ultra-net: phase=streaming sent=53830 received=53819 replies=108 control=108 reset_tx=107 reset_rx=107 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1098884) moq-ultra-net: phase=streaming sent=54330 received=54319 replies=109 control=109 reset_tx=108 reset_rx=108 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1108883) moq-ultra-net: phase=streaming sent=54830 received=54819 replies=110 control=110 reset_tx=109 reset_rx=109 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1118884) moq-ultra-net: phase=streaming sent=55330 received=55319 replies=111 control=111 reset_tx=110 reset_rx=110 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1128883) moq-ultra-net: phase=streaming sent=55830 received=55819 replies=112 control=112 reset_tx=111 reset_rx=111 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1138882) moq-ultra-net: phase=streaming sent=56330 received=56319 replies=113 control=113 reset_tx=112 reset_rx=112 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1148885) moq-ultra-net: phase=streaming sent=56830 received=56819 replies=114 control=114 reset_tx=113 reset_rx=113 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1158880) moq-ultra-net: phase=streaming sent=57330 received=57318 replies=115 control=115 reset_tx=114 reset_rx=114 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1168885) moq-ultra-net: phase=streaming sent=57830 received=57819 replies=116 control=116 reset_tx=115 reset_rx=115 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1178885) moq-ultra-net: phase=streaming sent=58330 received=58319 replies=117 control=117 reset_tx=116 reset_rx=116 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1188880) moq-ultra-net: phase=streaming sent=58830 received=58818 replies=118 control=118 reset_tx=117 reset_rx=117 internal_free=210039 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1198881) moq-ultra-net: phase=streaming sent=59330 received=59318 replies=119 control=119 reset_tx=118 reset_rx=118 internal_free=208227 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1208882) moq-ultra-net: phase=streaming sent=59830 received=59818 replies=120 control=120 reset_tx=119 reset_rx=119 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1218884) moq-ultra-net: phase=streaming sent=60330 received=60319 replies=121 control=121 reset_tx=120 reset_rx=120 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1228884) moq-ultra-net: phase=streaming sent=60830 received=60819 replies=122 control=122 reset_tx=121 reset_rx=121 internal_free=211623 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1238885) moq-ultra-net: phase=streaming sent=61330 received=61319 replies=123 control=123 reset_tx=122 reset_rx=122 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1248880) moq-ultra-net: phase=streaming sent=61830 received=61818 replies=124 control=124 reset_tx=123 reset_rx=123 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1258886) moq-ultra-net: phase=streaming sent=62330 received=62319 replies=125 control=125 reset_tx=124 reset_rx=124 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1268881) moq-ultra-net: phase=streaming sent=62830 received=62818 replies=126 control=126 reset_tx=125 reset_rx=125 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1278880) moq-ultra-net: phase=streaming sent=63330 received=63318 replies=127 control=127 reset_tx=126 reset_rx=126 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1288885) moq-ultra-net: phase=streaming sent=63830 received=63819 replies=128 control=128 reset_tx=127 reset_rx=127 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1298885) moq-ultra-net: phase=streaming sent=64330 received=64319 replies=129 control=129 reset_tx=128 reset_rx=128 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1308888) moq-ultra-net: phase=streaming sent=64830 received=64819 replies=130 control=130 reset_tx=129 reset_rx=129 internal_free=211623 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1318881) moq-ultra-net: phase=streaming sent=65330 received=65318 replies=131 control=131 reset_tx=130 reset_rx=130 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1328881) moq-ultra-net: phase=streaming sent=65830 received=65818 replies=132 control=132 reset_tx=131 reset_rx=131 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1338880) moq-ultra-net: phase=streaming sent=66330 received=66318 replies=133 control=133 reset_tx=132 reset_rx=132 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (1348881) moq-ultra-net: phase=streaming sent=66830 received=66818 replies=134 control=134 reset_tx=133 reset_rx=133 internal_free=211847 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
